SMILES,Temperature,SMILES Solvent,Solubility
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,313.15,CCCCCCCCO,0.0831
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,308.15,CCCCCC,8.84e-06
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,303.15,CCCCCC,7.39e-06
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,298.15,CCCCCC,5.82e-06
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,293.15,CCCCCC,4.69e-06
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,313.15,CCCCCC,1.111e-05
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,293.15,CCCCCCCCO,0.0484
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,303.15,CCCCCCCCO,0.0647
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,308.15,CCCCCCCCO,0.0728
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,298.15,CCCCCCCCO,0.0551
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,313.15,CCCCCCCCO,0.0385
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,293.15,CCCCCC,4.94e-06
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,308.15,CCCCCCCCO,0.0329
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,303.15,CCCCCC,7.1e-06
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,308.15,CCCCCC,8.46e-06
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,298.15,CCCCCC,5.94e-06
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,293.15,CCCCCCCCO,0.0186
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,298.15,CCCCCCCCO,0.0229
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,303.15,CCCCCCCCO,0.0278
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,313.15,CCCCCC,9.98e-06
CCc1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCC,0.000537
CCc1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCCCCO,0.0124
CCc1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCC,0.000225
CCc1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCC,0.000289
CCc1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCCCCO,0.0224
CCc1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCCCCO,0.0194
CCc1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCC,0.000673
CCc1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCC,0.000382
CCc1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCCCCO,0.0163
CCc1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCCCCO,0.0139
Cc1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCCCCO,0.193
Cc1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCCCCO,0.171
Cc1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCCCCO,0.157
Cc1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCCCCO,0.145
Cc1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCC,0.01345
Cc1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCC,0.00654
Cc1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCCCCO,0.209
Cc1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCC,0.00465
Cc1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCC,0.0104
Cc1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCC,0.0033
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,303.15,CCCCCC,0.0001058
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,298.15,CCCCCC,8.71e-05
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,293.15,CCCCCC,7.1e-05
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,315.15,CCCCCC,0.0001612
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,310.15,CCCCCC,0.0001337
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,293.15,CCCCCCCCO,0.00305
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,298.15,CCCCCCCCO,0.00377
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,303.15,CCCCCCCCO,0.00454
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,310.15,CCCCCCCCO,0.00605
Cc1ccc(N=C2SCC3CCCN2C3)cc1Cl,315.15,CCCCCCCCO,0.00736
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCC,0.000248
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCC,0.000339
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCC,0.000286
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCCCCO,0.0118
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCCCCO,0.0132
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCCCCO,0.0146
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCCCCO,0.0189
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCCCCO,0.0171
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCC,0.000402
FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCC,0.00046
Fc1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCCCCO,0.0296
Fc1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCC,0.0015
Fc1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCC,0.00187
Fc1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCC,0.00224
Fc1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCC,0.00294
Fc1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCC,0.00359
Fc1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCCCCO,0.0354
Fc1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCCCCO,0.0469
Fc1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCCCCO,0.0567
Fc1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCCCCO,0.0245
N#CN=C(N)N,323.15,O,0.026523
N#CN=C(N)N,308.15,O,0.014112
N#CN=C(N)N,303.15,O,0.011375
N#CN=C(N)N,318.15,O,0.021035
N#CN=C(N)N,278.15,O,0.003034
N#CN=C(N)N,283.15,O,0.003867
N#CN=C(N)N,288.15,O,0.005265
N#CN=C(N)N,293.15,O,0.007068
N#CN=C(N)N,298.15,O,0.008915
N#CN=C(N)N,313.15,O,0.017174
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCC,0.000271
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,298.15,CCCCCCCCO,0.0107
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCCCCO,0.0131
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCC,0.000223
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCCCCO,0.0202
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCCCCO,0.0166
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,293.15,CCCCCCCCO,0.0087
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,303.15,CCCCCC,0.000337
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,310.15,CCCCCC,0.000422
N#Cc1ccc(N=C2SCC3CCCN2C3)cc1,315.15,CCCCCC,0.000523
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,308.15,C1COCCO1,0.002502
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,318.15,C1COCCO1,0.002549
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,313.15,C1COCCO1,0.002522
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,298.15,C1COCCO1,0.00245
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,303.15,C1COCCO1,0.002484
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,318.15,CN(C)C=O,0.002643
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,313.15,CN(C)C=O,0.002641
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,308.15,CN(C)C=O,0.002641
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,303.15,CN(C)C=O,0.002639
Nc1ccc(C(=O)/C=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)cc1,298.15,CN(C)C=O,0.002638
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,318.15,C1COCCO1,0.007138
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,298.15,CN(C)C=O,0.009403
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,308.15,CN(C)C=O,0.0095
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,298.15,C1COCCO1,0.007052
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,313.15,C1COCCO1,0.007112
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,313.15,CN(C)C=O,0.0095
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,308.15,C1COCCO1,0.007096
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,303.15,CN(C)C=O,0.009452
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,318.15,CN(C)C=O,0.009589
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)CO,303.15,C1COCCO1,0.007072
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,318.15,CN(C)C=O,0.007255
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,313.15,CN(C)C=O,0.007215
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,308.15,C1COCCO1,0.004951
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,303.15,C1COCCO1,0.004913
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,303.15,CN(C)C=O,0.0071
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,298.15,C1COCCO1,0.004887
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,298.15,CN(C)C=O,0.007045
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,318.15,C1COCCO1,0.005013
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,313.15,C1COCCO1,0.005007
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,308.15,CN(C)C=O,0.007136
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,298.15,C1COCCO1,0.002712
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,318.15,C1COCCO1,0.002836
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,313.15,C1COCCO1,0.002818
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,303.15,C1COCCO1,0.002721
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,318.15,CN(C)C=O,0.004803
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,298.15,CN(C)C=O,0.004502
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,303.15,CN(C)C=O,0.0046
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,308.15,CN(C)C=O,0.004683
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,313.15,CN(C)C=O,0.0047
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,308.15,C1COCCO1,0.002774
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(O)cc1,298.15,C1COCCO1,0.005729
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(O)cc1,303.15,C1COCCO1,0.005801
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(O)cc1,313.15,C1COCCO1,0.005911
O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(O)cc1,318.15,C1COCCO1,0.005917
